,Ward Code,Ward Name,District Code,District Name,Province/City Code,Province/City Name,Latitude,Longitude
118,27073,Phường 11,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,793076","106,674891"
119,27076,Phường 17,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,793462","106,682755"
120,27079,Phường 14,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,788802","106,679615"
121,27082,Phường 12,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,792345","106,677841"
122,27085,Phường 13,768,Quận Phú Nhuận,79,Thành phố Hồ Chí Minh,"10,789985","106,670642"
123,27088,Phường Thảo Điền,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,807108","106,733744"
124,27091,Phường An Phú,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,798183","106,759131"
125,27094,Phường Bình An,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,790942","106,730933"
126,27097,Phường Bình Trưng Đông,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,784168","106,779095"
127,27100,Phường Bình Trưng Tây,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,78492","106,758644"
128,27103,Phường Bình Khánh,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,782474","106,737542"
129,27106,Phường An Khánh,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,780012","106,718935"
130,27109,Phường Cát Lái,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,768096","106,779429"
131,27112,Phường Thạnh Mỹ Lợi,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,762046","106,765287"
132,27115,Phường An Lợi Đông,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,768897","106,727221"
133,27118,Phường Thủ Thiêm,769,Quận 2,79,Thành phố Hồ Chí Minh,"10,772803","106,717324"
134,27121,Phường 08,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,789182","106,687349"
135,27124,Phường 07,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,781612","106,686571"
136,27127,Phường 14,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,788624","106,681323"
137,27130,Phường 12,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,78812","106,674247"
138,27133,Phường 11,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,786502","106,670179"
139,27136,Phường 13,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,786052","106,678566"
140,27139,Phường 06,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,780201","106,691845"
141,27142,Phường 09,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,782375","106,681742"
142,27145,Phường 10,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,781393","106,676049"
143,27148,Phường 04,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,773671","106,683226"
144,27151,Phường 05,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,772081","106,686101"
145,27154,Phường 03,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,770351","106,679357"
146,27157,Phường 02,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,767506","106,681674"
147,27160,Phường 01,770,Quận 3,79,Thành phố Hồ Chí Minh,"10,76824","106,677391"
148,27163,Phường 15,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,781899","106,665124"
149,27166,Phường 13,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,779685","106,671546"
150,27169,Phường 14,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,771488","106,662043"
151,27172,Phường 12,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,775347","106,674618"
152,27175,Phường 11,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,77357","106,678784"
153,27178,Phường 10,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,769079","106,672617"
154,27181,Phường 09,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,7666","106,671251"
155,27184,Phường 01,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,765148","106,677498"
156,27187,Phường 08,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,764936","106,666078"
157,27190,Phường 02,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,763502","106,674321"
158,27193,Phường 04,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,763398","106,669602"
159,27196,Phường 07,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,761262","106,661564"
160,27199,Phường 05,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,761523","106,666909"
161,27202,Phường 06,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,762121","106,663661"
162,27205,Phường 03,771,Quận 10,79,Thành phố Hồ Chí Minh,"10,770352","106,67948"
163,27208,Phường 15,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,769917","106,655952"
164,27211,Phường 05,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,770861","106,644972"
165,27214,Phường 14,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,768842","106,648332"
166,27217,Phường 11,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,766151","106,65044"
167,27220,Phường 03,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,763543","106,638669"
168,27223,Phường 10,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,762477","106,643475"
169,27226,Phường 13,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,764016","106,653952"
170,27229,Phường 08,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,761365","106,648723"
171,27232,Phường 09,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,776141","106,651848"
172,27235,Phường 12,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,761388","106,653009"
173,27238,Phường 07,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,760713","106,659645"
174,27241,Phường 06,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,759838","106,654864"
175,27244,Phường 04,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,758034","106,655176"
176,27247,Phường 01,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,756895","106,639445"
177,27250,Phường 02,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,757105","106,645117"
178,27253,Phường 16,772,Quận 11,79,Thành phố Hồ Chí Minh,"10,755876","106,648504"
179,27256,Phường 12,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,765756","106,705367"
180,27259,Phường 13,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,762089","106,70985"
181,27262,Phường 09,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,763259","106,703074"
182,27265,Phường 06,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,760679","106,700109"
183,27268,Phường 08,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,759896","106,703058"
184,27271,Phường 10,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,760497","106,705536"
185,27274,Phường 05,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,758222","106,698177"
186,27277,Phường 18,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,7574","106,716973"
187,27280,Phường 14,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,758196","106,708778"
188,27283,Phường 04,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,755762","106,703978"
189,27286,Phường 03,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,754172","106,699669"
190,27289,Phường 16,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,755377","106,712507"
191,27292,Phường 02,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,756579","106,695324"
192,27295,Phường 15,773,Quận 4,79,Thành phố Hồ Chí Minh,"10,754548","106,707818"
